#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Streptococcus agalactiae,GBS6,20122,SAMN05771129 ,PRJNA244773,Terrabacteria group,Firmicutes,GCA_000831105.1 ,2.23148,35.8,chromosome:NZ_CP007572.1/CP007572.1,-,1,2306,2119,8/21/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/105/GCF_000831105.1_ASM83110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/105/GCA_000831105.1_ASM83110v1
Streptococcus pyogenes MGAS10750,MGAS10750,20126,SAMN02603504 ,PRJNA16366,Terrabacteria group,Firmicutes,GCA_000013545.1 ,1.93711,38.3,chromosome:NC_008024.1/CP000262.1,-,1,1983,1804,5/4/2006,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/545/GCF_000013545.1_ASM1354v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/545/GCA_000013545.1_ASM1354v1
Streptococcus pneumoniae AP200,AP200,20104,SAMN02603428 ,PRJNA32641,Terrabacteria group,Firmicutes,GCA_000146975.1 ,2.13058,39.5,chromosome:NC_014494.1/CP002121.1,-,1,2327,2067,9/7/2010,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/975/GCF_000146975.1_ASM14697v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/975/GCA_000146975.1_ASM14697v1
Streptococcus pneumoniae 670-6B,670-6B,20104,SAMN02604004 ,PRJNA292,Terrabacteria group,Firmicutes,GCA_000147095.1 ,2.24004,39.6,chromosome:NC_014498.1/CP002176.1,-,1,2472,2199,9/9/2010,3/9/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/095/GCF_000147095.1_ASM14709v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/095/GCA_000147095.1_ASM14709v1
Streptococcus pyogenes NZ131,NZ131; ATCC BAA-1633,20126,SAMN02604236 ,PRJNA20707,Terrabacteria group,Firmicutes,GCA_000018125.1 ,1.81578,38.6,chromosome:NC_011375.1/CP000829.1,-,1,1852,1658,10/16/2008,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/125/GCF_000018125.1_ASM1812v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/125/GCA_000018125.1_ASM1812v1
Streptococcus agalactiae,GBS2-NM,20122,SAMN05771130 ,PRJNA243854,Terrabacteria group,Firmicutes,GCA_000831125.1 ,2.2143,35.9,chromosome:NZ_CP007571.1/CP007571.1,-,1,2275,2099,8/21/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/125/GCF_000831125.1_ASM83112v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/125/GCA_000831125.1_ASM83112v1
Streptococcus suis S735,S735,20103,SAMN02604110 ,PRJNA163139,Terrabacteria group,Firmicutes,GCA_000294495.1 ,1.98089,41.4,chromosome:NC_018526.1/CP003736.1,-,1,1981,1839,9/4/2012,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/495/GCF_000294495.1_ASM29449v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/495/GCA_000294495.1_ASM29449v1
Streptococcus thermophilus,CS8,51009,SAMN05281844 ,PRJNA326481,Terrabacteria group,Firmicutes,GCA_001685375.1 ,1.79166,39,chromosome:NZ_CP016439.1/CP016439.1,-,1,1924,1641,7/15/2016,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/685/375/GCF_001685375.1_ASM168537v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/375/GCA_001685375.1_ASM168537v1
Streptococcus intermedius,KCOM 1545,21002,SAMN03263087 ,PRJNA270135,Terrabacteria group,Firmicutes,GCA_001296205.1 ,1.9082,37.6,chromosome:CP012718.1,-,1,1851,1746,9/22/2015,9/22/2015,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/296/205/GCA_001296205.1_ASM129620v1
Streptococcus thermophilus,KLDS 3.1003,51009,SAMN05465222 ,PRJNA335873,Terrabacteria group,Firmicutes,GCA_001705585.1 ,1.89996,38.9,chromosome:NZ_CP016877.1/CP016877.1,-,1,2037,1676,8/16/2016,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/705/585/GCF_001705585.1_ASM170558v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/705/585/GCA_001705585.1_ASM170558v1
Streptococcus suis SC070731,SC070731,20103,SAMN02603632 ,PRJNA178071,Terrabacteria group,Firmicutes,GCA_000344765.1 ,2.13857,41.2,chromosome:NC_020526.1/CP003922.1,-,1,2153,2010,3/6/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/344/765/GCF_000344765.1_ASM34476v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/765/GCA_000344765.1_ASM34476v1
Streptococcus agalactiae,GBS1-NY,20122,SAMN02720890 ,PRJNA243853,Terrabacteria group,Firmicutes,GCA_000831145.1 ,2.24371,35.9,chromosome:NZ_CP007570.1/CP007570.1,-,1,2300,2120,8/21/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/145/GCF_000831145.1_ASM83114v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/145/GCA_000831145.1_ASM83114v1
Streptococcus pneumoniae SPNA45,A45,20104,SAMEA3138306 ,PRJNA50805,Terrabacteria group,Firmicutes,GCA_000180515.2 ,2.12993,39.8,chromosome:NC_018594.1/HE983624.1,-,1,2394,2069,9/7/2012,3/8/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/515/GCF_000180515.1_ASM18051v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/515/GCA_000180515.2_ASM18051v2
Streptococcus pyogenes Alab49,Alab49,20126,SAMN02603353 ,PRJNA73399,Terrabacteria group,Firmicutes,GCA_000230295.1 ,1.82731,38.6,chromosome:NC_017596.1/CP003068.1,-,1,1888,1753,10/7/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/295/GCF_000230295.1_ASM23029v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/295/GCA_000230295.1_ASM23029v1
Streptococcus pyogenes MGAS15252,MGAS15252,20126,SAMN02603944 ,PRJNA49669,Terrabacteria group,Firmicutes,GCA_000250905.1 ,1.75083,38.5,chromosome:NC_017040.1/CP003116.1,-,1,1751,1627,3/1/2012,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/905/GCF_000250905.1_ASM25090v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/250/905/GCA_000250905.1_ASM25090v1
Streptococcus pneumoniae TCH8431/19A,TCH8431/19A,20104,SAMN00002223 ,PRJNA34659,Terrabacteria group,Firmicutes,GCA_000196595.1 ,2.08877,39.8,chromosome:NC_014251.1/CP001993.1,-,1,2277,2031,6/14/2010,3/2/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/595/GCF_000196595.1_ASM19659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/595/GCA_000196595.1_ASM19659v1
Streptococcus agalactiae,SS1,20122,SAMN03329971 ,PRJNA274384,Terrabacteria group,Firmicutes,GCA_001026925.1 ,2.09207,35.5,chromosome:NZ_CP010867.1/CP010867.1,-,1,2173,2008,6/3/2015,3/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/026/925/GCF_001026925.1_ASM102692v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/026/925/GCA_001026925.1_ASM102692v1
Streptococcus suis TL13,TL13,20103,SAMN02603120 ,PRJNA171404,Terrabacteria group,Firmicutes,GCA_000390245.1 ,2.03815,41.3,chromosome:NC_021213.1/CP003993.1,-,1,2054,1873,5/13/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/245/GCF_000390245.1_ASM39024v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/390/245/GCA_000390245.1_ASM39024v1
Streptococcus thermophilus,ND07,51009,SAMN05357478 ,PRJNA327772,Terrabacteria group,Firmicutes,GCA_001855705.1 ,1.86951,39,chromosome:NZ_CP016394.1/CP016394.1,-,1,1996,1684,10/28/2016,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/855/705/GCF_001855705.1_ASM185570v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/855/705/GCA_001855705.1_ASM185570v1
Streptococcus thermophilus,APC151,51009,SAMN06349996 ,PRJNA376088,Terrabacteria group,Firmicutes,GCA_002012365.1 ,1.83913,39.1,chromosome:NZ_CP019935.1/CP019935.1,-,1,1982,1687,3/3/2017,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/365/GCF_002012365.1_ASM201236v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/365/GCA_002012365.1_ASM201236v1
Streptococcus suis YB51,YB51,20103,SAMN02603121 ,PRJNA213888,Terrabacteria group,Firmicutes,GCA_000471985.1 ,2.04366,41.3,chromosome:NC_022516.1/CP006645.1,-,1,2060,1874,9/27/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/985/GCF_000471985.1_ASM47198v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/471/985/GCA_000471985.1_ASM47198v1
Streptococcus agalactiae,HN016,20122,SAMN02992126 ,PRJNA258321,Terrabacteria group,Firmicutes,GCA_001190805.1 ,2.06472,35.7,chromosome:NZ_CP011325.1/CP011325.1,-,1,2120,1968,8/3/2015,3/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/805/GCF_001190805.1_ASM119080v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/805/GCA_001190805.1_ASM119080v1
Streptococcus pneumoniae INV200,INV200,20104,SAMEA3138386 ,PRJNA50731,Terrabacteria group,Firmicutes,GCA_000210935.1 ,2.09332,39.6,chromosome:NC_017593.1/FQ312029.1,-,1,2264,2006,7/29/2010,3/9/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/935/GCF_000210935.1_ASM21093v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/935/GCA_000210935.1_ASM21093v1
Streptococcus pyogenes MGAS1882,MGAS1882,20126,SAMN02603945 ,PRJNA66081,Terrabacteria group,Firmicutes,GCA_000250925.1 ,1.78103,38.5,chromosome:NC_017053.1/CP003121.1,-,1,1787,1662,3/1/2012,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/925/GCF_000250925.1_ASM25092v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/250/925/GCA_000250925.1_ASM25092v1
Streptococcus pneumoniae OXC141,OXC141,20104,SAMEA3138387 ,PRJNA50733,Terrabacteria group,Firmicutes,GCA_000210955.1 ,2.03687,39.8,chromosome:NC_017592.1/FQ312027.1,-,1,2246,2005,7/29/2010,9/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/955/GCF_000210955.1_ASM21095v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/955/GCA_000210955.1_ASM21095v1
Streptococcus pyogenes A20,A20,20126,SAMN02603640 ,PRJNA175952,Terrabacteria group,Firmicutes,GCA_000307535.1 ,1.83728,38.5,chromosome:NC_018936.1/CP003901.1,-,1,1894,1756,10/22/2012,3/23/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/535/GCF_000307535.1_ASM30753v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/535/GCA_000307535.1_ASM30753v1
Streptococcus agalactiae,H002,20122,SAMN02991570 ,PRJNA258310,Terrabacteria group,Firmicutes,GCA_001190885.1 ,2.14742,35.7,chromosome:NZ_CP011329.1/CP011329.1,-,1,2224,2054,8/3/2015,3/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/885/GCF_001190885.1_ASM119088v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/885/GCA_001190885.1_ASM119088v1
Streptococcus suis T15,T15,20103,SAMN02603633 ,PRJNA206218,Terrabacteria group,Firmicutes,GCA_000494895.1 ,2.24023,41,chromosome:NC_022665.1/CP006246.1,-,1,2286,2093,11/1/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/494/895/GCF_000494895.1_ASM49489v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/895/GCA_000494895.1_ASM49489v1
Streptococcus thermophilus,ST3,51009,SAMN05631197 ,PRJNA340075,Terrabacteria group,Firmicutes,GCA_002286255.1 ,1.86506,39,chromosome:NZ_CP017064.1/CP017064.1,-,1,1982,1638,9/5/2017,9/7/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/255/GCF_002286255.1_ASM228625v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/255/GCA_002286255.1_ASM228625v1
Streptococcus thermophilus,B59671,51009,SAMN07369158 ,PRJNA395042,Terrabacteria group,Firmicutes,GCA_002443035.1 ,1.82117,39.1,chromosome:NZ_CP022547.1/CP022547.1,-,1,1925,1567,10/4/2017,10/7/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/443/035/GCF_002443035.1_ASM244303v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/443/035/GCA_002443035.1_ASM244303v1
Streptococcus suis 6407,6407,20103,SAMN02905150 ,PRJNA254762,Terrabacteria group,Firmicutes,GCA_000732355.1 ,2.29236,41,chromosome:NZ_CP008921.1/CP008921.1,-,1,2319,2132,7/22/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/355/GCF_000732355.1_ASM73235v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/355/GCA_000732355.1_ASM73235v1
Streptococcus agalactiae,GBS85147,20122,SAMN03108598 ,PRJNA263907,Terrabacteria group,Firmicutes,GCA_001266635.1 ,1.99615,35.5,chromosome:NZ_CP010319.1/CP010319.1,-,1,2040,1912,8/11/2015,3/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/635/GCF_001266635.1_ASM126663v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/635/GCA_001266635.1_ASM126663v1
Streptococcus pneumoniae INV104,INV104,20104,SAMEA3138388 ,PRJNA50735,Terrabacteria group,Firmicutes,GCA_000210975.1 ,2.14212,39.6,chromosome:NC_017591.1/FQ312030.1,-,1,2347,2065,7/29/2010,3/9/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/975/GCF_000210975.1_ASM21097v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/975/GCA_000210975.1_ASM21097v1
Streptococcus pyogenes M1 476,M1 476,20126,SAMD00061013 ,PRJDB141,Terrabacteria group,Firmicutes,GCA_000349925.2 ,1.83113,38.5,chromosome 1:NC_020540.2/AP012491.2,-,1,1880,1755,7/14/2012,3/24/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/925/GCF_000349925.2_ASM34992v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/925/GCA_000349925.2_ASM34992v2
Streptococcus pyogenes HSC5,HSC5,20126,SAMN02604317 ,PRJNA205050,Terrabacteria group,Firmicutes,GCA_000422045.1 ,1.81835,38.5,chromosome:NC_021807.1/CP006366.1,-,1,1871,1735,7/11/2013,3/24/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/045/GCF_000422045.1_ASM42204v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/422/045/GCA_000422045.1_ASM42204v1
Streptococcus pneumoniae SPN034156,SNP034156,20104,SAMEA3138389 ,PRJNA50793,Terrabacteria group,Firmicutes,GCA_000210995.1 ,2.02448,39.9,chromosome:NC_021006.1/FQ312045.1,-,1,2220,1963,7/29/2010,9/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/995/GCF_000210995.1_ASM21099v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/995/GCA_000210995.1_ASM21099v1
Streptococcus suis,ZY05719,20103,SAMN02691834 ,PRJNA242223,Terrabacteria group,Firmicutes,GCA_000993745.1 ,2.0949,41.1,chromosome:NZ_CP007497.1/CP007497.1,-,1,2106,1976,5/7/2015,3/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/993/745/GCF_000993745.1_ASM99374v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/993/745/GCA_000993745.1_ASM99374v1
Streptococcus agalactiae,SG-M1,20122,SAMN04002524 ,PRJNA293392,Terrabacteria group,Firmicutes,GCA_001275545.2 ,2.11681,35.5,chromosome:NZ_CP012419.2/CP012419.2,-,1,2219,2054,8/31/2015,3/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/275/545/GCF_001275545.2_ASM127554v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/275/545/GCA_001275545.2_ASM127554v2
Streptococcus thermophilus,ACA-DC 2,51009,SAMEA4355128 ,PRJEB14916,Terrabacteria group,Firmicutes,GCA_900094135.1 ,1.73184,39.2,chromosome I:NZ_LT604076.1/LT604076.1,-,1,1847,1555,8/3/2016,5/31/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/135/GCF_900094135.1_ASM90009413v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/094/135/GCA_900094135.1_ASM90009413v1
Streptococcus agalactiae,GBS ST-1,20122,SAMN04111187 ,PRJNA296923,Terrabacteria group,Firmicutes,GCA_001448985.1 ,2.16597,35.4,chromosome:NZ_CP013202.1/CP013202.1,-,1,2261,2083,11/30/2015,3/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/448/985/GCF_001448985.1_ASM144898v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/448/985/GCA_001448985.1_ASM144898v1
Streptococcus suis,NSUI002,20103,SAMN03652427 ,PRJNA283547,Terrabacteria group,Firmicutes,GCA_001272635.1 ,2.25535,41.1,chromosome:NZ_CP011419.1/CP011419.1,-,1,2324,2146,8/21/2015,3/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/272/635/GCF_001272635.1_ASM127263v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/272/635/GCA_001272635.1_ASM127263v1
Streptococcus pneumoniae SPN034183,SNP034183,20104,SAMEA3138390 ,PRJNA50795,Terrabacteria group,Firmicutes,GCA_000211015.1 ,2.03725,39.8,chromosome:NC_021028.1/FQ312043.1,-,1,2244,1986,7/29/2010,9/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/211/015/GCF_000211015.1_ASM21101v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/015/GCA_000211015.1_ASM21101v1
Streptococcus pyogenes STAB902,STAB902,20126,SAMN03081524 ,PRJNA231895,Terrabacteria group,Firmicutes,GCA_000732425.1 ,1.89212,38.5,chromosome:NZ_CP007041.1/CP007041.1,-,1,1974,1846,7/22/2014,3/24/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/425/GCF_000732425.1_ASM73242v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/425/GCA_000732425.1_ASM73242v1
Streptococcus pyogenes,ATCC 19615,20126,SAMN02905033 ,PRJNA244349,Terrabacteria group,Firmicutes,GCA_000743015.1 ,1.8448,38.5,chromosome:NZ_CP008926.1/CP008926.1,-,1,1909,1750,8/22/2014,3/24/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/015/GCF_000743015.1_ASM74301v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/015/GCA_000743015.1_ASM74301v1
Streptococcus pneumoniae SPN994038,SNP994038,20104,SAMEA3138391 ,PRJNA50799,Terrabacteria group,Firmicutes,GCA_000211035.2 ,2.02624,39.8,chromosome:NC_021026.1/FQ312041.2,-,1,2232,1990,7/29/2010,9/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/211/035/GCF_000211035.1_ASM21103v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/035/GCA_000211035.2_ASM21103v2
Streptococcus suis,NSUI060,20103,SAMN04156190 ,PRJNA298205,Terrabacteria group,Firmicutes,GCA_001572685.1 ,2.30221,41.0898,chromosome:NZ_CP012911.1/CP012911.1; plasmid pNSUI060a:NZ_CP012912.1/CP012912.1; plasmid pNSUI060b:NZ_CP012913.1/CP012913.1,-,3,2392,2185,2/25/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/572/685/GCF_001572685.1_ASM157268v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/572/685/GCA_001572685.1_ASM157268v1
Streptococcus agalactiae,NGBS128,20122,SAMN04007140 ,PRJNA293561,Terrabacteria group,Firmicutes,GCA_001552035.1 ,2.07912,35.7038,chromosome:NZ_CP012480.1/CP012480.1; plasmid pNGBS128:NZ_CP012742.1/CP012742.1,-,2,2124,1917,2/4/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/552/035/GCF_001552035.1_ASM155203v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/552/035/GCA_001552035.1_ASM155203v1
Streptococcus agalactiae,CU_GBS_08,20122,SAMN03331945 ,PRJNA274685,Terrabacteria group,Firmicutes,GCA_001592385.1 ,2.08451,35.4,chromosome:NZ_CP010874.1/CP010874.1,-,1,2184,2031,3/15/2016,9/29/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/592/385/GCF_001592385.1_ASM159238v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/385/GCA_001592385.1_ASM159238v1
Streptococcus suis,90-1330,20103,SAMN04044079 ,PRJNA295196,Terrabacteria group,Firmicutes,GCA_001610935.1 ,2.14615,41.1,chromosome:NZ_CP012731.1/CP012731.1,-,1,2192,2020,4/5/2016,4/27/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/935/GCF_001610935.1_ASM161093v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/610/935/GCA_001610935.1_ASM161093v1
Streptococcus pneumoniae SPN994039,SNP994039,20104,SAMEA3138392 ,PRJNA50801,Terrabacteria group,Firmicutes,GCA_000211055.2 ,2.0265,39.8,chromosome:NC_021005.1/FQ312044.2,-,1,2233,1992,7/29/2010,9/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/211/055/GCF_000211055.1_ASM21105v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/055/GCA_000211055.2_ASM21105v2
Streptococcus pyogenes,M23ND,20126,SAMN02800743 ,PRJNA248257,Terrabacteria group,Firmicutes,GCA_000756485.1 ,1.84648,38.6,chromosome:NZ_CP008695.1/CP008695.1,-,1,1909,1771,9/22/2014,3/24/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/485/GCF_000756485.1_ASM75648v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/485/GCA_000756485.1_ASM75648v1
Streptococcus pyogenes,7F7,20126,SAMN02644974 ,PRJNA238516,Terrabacteria group,Firmicutes,GCA_000767505.1 ,1.70979,38.6,chromosome:NZ_CP007240.1/CP007240.1,-,1,1715,1584,10/20/2014,3/24/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/505/GCF_000767505.1_ASM76750v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/505/GCA_000767505.1_ASM76750v1
Streptococcus pneumoniae SPN032672,SPN032672,20104,SAMEA3138393 ,PRJNA50809,Terrabacteria group,Firmicutes,GCA_000211075.1 ,2.13119,39.6,chromosome:NC_021003.1/FQ312039.1,-,1,2362,2069,7/29/2010,3/9/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/211/075/GCF_000211075.1_ASM21107v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/075/GCA_000211075.1_ASM21107v1
Streptococcus suis,DN13,20103,SAMN04884928 ,PRJNA319315,Terrabacteria group,Firmicutes,GCA_001640765.1 ,2.14218,41.3,chromosome:NZ_CP015557.1/CP015557.1,-,1,2147,1960,5/9/2016,3/20/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/765/GCF_001640765.1_ASM164076v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/765/GCA_001640765.1_ASM164076v1
Streptococcus agalactiae,CU_GBS_98,20122,SAMN03331944 ,PRJNA274685,Terrabacteria group,Firmicutes,GCA_001592425.1 ,2.02967,35.4,chromosome:NZ_CP010875.1/CP010875.1,-,1,2103,1956,3/15/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/592/425/GCF_001592425.1_ASM159242v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/425/GCA_001592425.1_ASM159242v1
Streptococcus suis,GZ0565,20103,SAMN05567566 ,PRJNA337985,Terrabacteria group,Firmicutes,GCA_001721625.1 ,2.13188,41.3,chromosome:NZ_CP017142.1/CP017142.1,-,1,2144,1966,9/8/2016,3/20/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/625/GCF_001721625.1_ASM172162v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/721/625/GCA_001721625.1_ASM172162v1
